Price,Close,High,Low,Open,Volume,EMA12,EMA26,MACD_Line,Signal_Line,Histogram
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,
Datetime,,,,,,,,,,
2024-12-30 17:16:00+00:00,421.3200989,421.648407,421.0499878,421.5899963,90431,422.4453315,422.7536173,-0.308285888,0.001713261,-0.309999149
2024-12-30 17:17:00+00:00,421.3349915,421.4899902,421,421.4100037,83308,422.2745099,422.6485339,-0.374024028,-0.073434197,-0.300589831
2024-12-30 17:18:00+00:00,421.3999939,421.5822144,421.25,421.3399963,74405,422.139969,422.5560495,-0.416080506,-0.141963459,-0.274117047
2024-12-30 17:19:00+00:00,421.6972961,421.9500122,421.25,421.3999939,78114,422.0718655,422.4924381,-0.420572661,-0.197685299,-0.222887362
2024-12-30 17:20:00+00:00,421.7799988,422.2359924,421.651001,421.7820129,102582,422.0269629,422.4396649,-0.412701944,-0.240688628,-0.172013316
2024-12-30 17:21:00+00:00,421.2000122,422.0299988,421.1000061,421.7099915,83423,421.8997397,422.3478387,-0.448099007,-0.282170704,-0.165928303
2024-12-30 17:22:00+00:00,421.2950134,421.3598938,421,421.269989,78301,421.8067049,422.2698517,-0.463146762,-0.318365916,-0.144780847
2024-12-30 17:23:00+00:00,420.8301086,421.7499084,420.8301086,420.8301086,89670,421.6564593,422.163204,-0.50674471,-0.356041674,-0.150703035
2024-12-30 17:24:00+00:00,420.8500061,421.0999146,420.4200134,420.8099976,131454,421.5323896,422.0659301,-0.533540516,-0.391541443,-0.141999073
2024-12-30 17:25:00+00:00,420.9121094,421.3800049,420.7200012,420.8349915,84680,421.4369619,421.9804619,-0.54350004,-0.421933162,-0.121566878
2024-12-30 17:26:00+00:00,420.7000122,421.2398987,420.5201111,421,78712,421.323585,421.8856138,-0.562028785,-0.449952287,-0.112076498
2024-12-30 17:27:00+00:00,421.0104065,421.2632141,420.0299988,420.7000122,145869,421.2754037,421.8207836,-0.545379924,-0.469037814,-0.07634211
2024-12-30 17:28:00+00:00,421.5700073,421.8699036,421.1000061,421.1499939,101721,421.3207273,421.8022076,-0.481480267,-0.471526305,-0.009953962
2024-12-30 17:29:00+00:00,421.2799988,421.6600037,421.1400146,421.6000061,36514,421.3144614,421.7635255,-0.449064063,-0.467033856,0.017969793
2024-12-30 17:30:00+00:00,421.0799866,421.5400085,421,421.3500061,50557,421.2783883,421.712893,-0.434504603,-0.460528006,0.026023403
